Date,Price,Open,High,Low,Vol.,Change %
31-Dec-19,28538.44,28414.64,28547.35,28376.49,193.34M,0.27%
30-Dec-19,28462.14,28654.76,28664.69,28428.98,185.07M,-0.64%
27-Dec-19,28645.26,28675.34,28701.66,28608.98,184.93M,0.08%
26-Dec-19,28621.39,28539.46,28624.1,28535.15,155.97M,0.37%
24-Dec-19,28515.45,28572.57,28576.8,28503.21,95.29M,-0.13%
23-Dec-19,28551.53,28491.78,28582.49,28491.78,233.47M,0.34%
20-Dec-19,28455.09,28608.64,28608.64,28445.6,603.78M,0.28%
19-Dec-19,28376.96,28278.31,28381.48,28278.24,262.57M,0.49%
18-Dec-19,28239.28,28291.44,28323.25,28239.28,289.89M,-0.10%
17-Dec-19,28267.16,28221.75,28328.63,28220.56,286.77M,0.11%
16-Dec-19,28235.89,28191.67,28337.49,28191.67,286.77M,0.36%
13-Dec-19,28135.38,28123.64,28290.73,28028.32,254.81M,0.01%
12-Dec-19,28132.05,27898.34,28224.95,27859.87,277.74M,0.79%
11-Dec-19,27911.3,27867.31,27925.5,27801.8,221.70M,0.11%
10-Dec-19,27881.72,27900.65,27949.02,27804,215.81M,-0.10%
9-Dec-19,27909.6,27987.05,28010.42,27906.14,219.07M,-0.38%
6-Dec-19,28015.06,27839.68,28035.85,27839.68,224.83M,1.22%
5-Dec-19,27677.79,27736.05,27745.2,27562.8,219.99M,0.10%
4-Dec-19,27649.78,27634.63,27727.45,27612.08,218.20M,0.53%
3-Dec-19,27502.81,27501.98,27524.74,27325.13,275.35M,-1.01%
2-Dec-19,27783.04,28109.74,28109.84,27782.35,236.61M,-0.96%
29-Nov-19,28051.41,28103.16,28119.51,28042.53,122.62M,-0.40%
27-Nov-19,28164,28156.47,28174.97,28075.23,198.21M,0.15%
26-Nov-19,28121.68,28080.75,28146.02,28042.21,329.80M,0.20%
25-Nov-19,28066.47,27917.77,28068.69,27917.77,248.42M,0.68%
22-Nov-19,27875.62,27831.23,27898.46,27773.98,218.58M,0.39%
21-Nov-19,27766.29,27820.28,27828.33,27708.34,232.02M,-0.20%
20-Nov-19,27821.09,27879.55,27897.28,27675.28,260.24M,-0.40%
19-Nov-19,27934.02,28079.76,28090.21,27894.52,256.62M,-0.36%
18-Nov-19,28036.22,27993.22,28040.97,27969.24,252.32M,0.11%
15-Nov-19,28004.89,27843.54,28004.89,27843.54,288.91M,0.80%
14-Nov-19,27781.96,27757.2,27800.71,27676.97,303.97M,-0.01%
13-Nov-19,27783.59,27622.04,27806.4,27587.2,278.39M,0.33%
12-Nov-19,27691.49,27701.59,27770.86,27635.32,213.67M,0.00%
11-Nov-19,27691.49,27580.66,27714.39,27517.67,204.62M,0.04%
8-Nov-19,27681.24,27686.2,27694.95,27578.97,222.79M,0.02%
7-Nov-19,27674.8,27590.16,27774.67,27590.16,263.58M,0.66%
6-Nov-19,27492.56,27502.74,27526.05,27407.81,243.19M,0.00%
5-Nov-19,27492.63,27500.23,27560.36,27453.55,293.96M,0.11%
4-Nov-19,27462.11,27402.06,27517.58,27402.06,273.03M,0.42%
1-Nov-19,27347.36,27142.95,27347.43,27142.95,272.07M,1.11%
31-Oct-19,27046.23,27188.37,27188.37,26918.29,273.83M,-0.52%
30-Oct-19,27186.69,27110.71,27204.36,26999.64,231.75M,0.43%
29-Oct-19,27071.42,27061.07,27165.94,27039.76,269.61M,-0.07%
28-Oct-19,27090.72,27040.33,27167.88,27028.71,290.77M,0.49%
25-Oct-19,26958.06,26789.61,27015.37,26765.68,274.61M,0.57%
24-Oct-19,26805.53,26893.93,26931.78,26714.34,259.64M,-0.11%
23-Oct-19,26833.95,26835.24,26896.89,26745,247.68M,0.17%
22-Oct-19,26788.1,26850.43,26946.64,26782.61,265.51M,-0.15%
21-Oct-19,26827.64,26852.67,26852.67,26747.62,241.03M,0.21%
18-Oct-19,26770.2,27004.49,27018.25,26770.13,293.61M,-0.95%
17-Oct-19,27025.88,27032.38,27112.16,26970.29,225.06M,0.09%
16-Oct-19,27001.98,26972.31,27058.34,26943.29,218.24M,-0.08%
15-Oct-19,27024.8,26811.2,27120.11,26811.2,247.48M,0.89%
14-Oct-19,26787.36,26766.43,26874.33,26749.18,178.62M,-0.11%
